epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,2862.75,1.12923,0.6226,1.1741,0.90561,0.84915,0.93054,0.6197,1.14615,0.58564,1.13339,0.0007328,0.0007328,0.0007328
66,2905.63,1.1126,0.6248,1.17059,0.91809,0.86346,0.93517,0.62266,1.14612,0.59024,1.13902,0.000713,0.000713,0.000713
67,2948.42,1.13498,0.62994,1.17564,0.92022,0.82055,0.92473,0.58967,1.22012,0.62062,1.17681,0.0006932,0.0006932,0.0006932
68,2992.23,1.12894,0.61826,1.16911,0.93448,0.83485,0.92792,0.61462,1.16078,0.59482,1.13989,0.0006734,0.0006734,0.0006734
69,3035.11,1.12234,0.61962,1.16712,0.93093,0.84915,0.93517,0.6369,1.1154,0.56962,1.11795,0.0006536,0.0006536,0.0006536
70,3078.35,1.10666,0.60954,1.16022,0.92114,0.85046,0.93844,0.63342,1.11383,0.57043,1.11817,0.0006338,0.0006338,0.0006338
71,3122.67,1.10199,0.61344,1.16155,0.92587,0.83355,0.93018,0.62256,1.13396,0.57987,1.14162,0.000614,0.000614,0.000614
72,3167.67,1.10382,0.60459,1.15534,0.90175,0.85933,0.93186,0.63053,1.13015,0.5808,1.13186,0.0005942,0.0005942,0.0005942
73,3211.58,1.0988,0.60762,1.15713,0.90116,0.86548,0.93719,0.62879,1.12881,0.57817,1.13244,0.0005744,0.0005744,0.0005744
74,3254.92,1.08896,0.59697,1.14678,0.91492,0.83905,0.93004,0.61728,1.15458,0.5733,1.14967,0.0005546,0.0005546,0.0005546
75,3299.69,1.07421,0.59817,1.14631,0.90246,0.84218,0.92987,0.61743,1.1383,0.57761,1.14376,0.0005348,0.0005348,0.0005348
76,3343.19,1.07832,0.59766,1.14501,0.92049,0.84307,0.92518,0.61321,1.1677,0.59253,1.15004,0.000515,0.000515,0.000515
77,3387.37,1.07328,0.58949,1.13895,0.89784,0.83225,0.92349,0.597,1.18815,0.59961,1.15307,0.0004952,0.0004952,0.0004952
78,3431.46,1.07134,0.5947,1.14587,0.92005,0.83095,0.92288,0.60476,1.17687,0.59526,1.15182,0.0004754,0.0004754,0.0004754
79,3475.99,1.06047,0.57806,1.1331,0.92897,0.83339,0.92933,0.61944,1.14838,0.57936,1.13569,0.0004556,0.0004556,0.0004556
80,3519.66,1.0572,0.57707,1.13134,0.90975,0.84525,0.92846,0.60627,1.19769,0.58668,1.15725,0.0004358,0.0004358,0.0004358
81,3563.45,1.05674,0.5784,1.12909,0.91077,0.84395,0.92681,0.60754,1.1699,0.57773,1.14822,0.000416,0.000416,0.000416
82,3608.2,1.05339,0.57161,1.12602,0.90865,0.82778,0.92001,0.59143,1.20522,0.60594,1.16609,0.0003962,0.0003962,0.0003962
83,3651.79,1.04225,0.57057,1.12477,0.8863,0.86163,0.93463,0.61824,1.14781,0.57685,1.1296,0.0003764,0.0003764,0.0003764
84,3695.53,1.03151,0.56879,1.12692,0.91269,0.83745,0.92718,0.61016,1.16753,0.58671,1.1506,0.0003566,0.0003566,0.0003566
85,3740,1.03749,0.56624,1.12286,0.90512,0.84915,0.92643,0.60597,1.16448,0.58048,1.15334,0.0003368,0.0003368,0.0003368
86,3784.05,1.01952,0.56089,1.11773,0.89438,0.84793,0.92275,0.60503,1.17455,0.5811,1.15348,0.000317,0.000317,0.000317
87,3827.75,1.01513,0.55268,1.11244,0.90716,0.8513,0.92519,0.60633,1.17965,0.58147,1.15549,0.0002972,0.0002972,0.0002972
88,3871.7,1.0115,0.55139,1.10871,0.91781,0.82705,0.92832,0.60849,1.17482,0.58799,1.14396,0.0002774,0.0002774,0.0002774
89,3915.58,1.0195,0.55326,1.10746,0.90274,0.84489,0.92116,0.60086,1.18069,0.58044,1.15836,0.0002576,0.0002576,0.0002576
90,3958.8,1.00463,0.54978,1.10512,0.92693,0.82315,0.92421,0.61193,1.16444,0.58026,1.15089,0.0002378,0.0002378,0.0002378
91,4003.69,0.96592,0.49287,1.08119,0.91435,0.81795,0.91985,0.58951,1.20974,0.59721,1.17799,0.000218,0.000218,0.000218
92,4046.42,0.94765,0.48397,1.07546,0.89669,0.83523,0.91744,0.59865,1.19811,0.59245,1.17192,0.0001982,0.0001982,0.0001982
93,4089.91,0.95129,0.48275,1.07907,0.89278,0.8446,0.91341,0.58892,1.22517,0.59258,1.19101,0.0001784,0.0001784,0.0001784
94,4132.26,0.9387,0.47752,1.07284,0.88615,0.84009,0.91913,0.60281,1.18574,0.58956,1.16809,0.0001586,0.0001586,0.0001586
95,4174.74,0.92759,0.47128,1.06868,0.90468,0.83925,0.92237,0.60862,1.17297,0.57864,1.16079,0.0001388,0.0001388,0.0001388
96,4217.3,0.92762,0.46925,1.06774,0.89865,0.84525,0.91917,0.59428,1.20953,0.5833,1.1881,0.000119,0.000119,0.000119
97,4260.31,0.92096,0.46757,1.06302,0.90174,0.84785,0.92132,0.59815,1.19933,0.57951,1.17816,9.92e-05,9.92e-05,9.92e-05
98,4305.05,0.9109,0.4624,1.05809,0.91333,0.83594,0.92077,0.59457,1.21527,0.58193,1.18154,7.94e-05,7.94e-05,7.94e-05
99,4348.84,0.89909,0.45808,1.05181,0.93837,0.80884,0.92049,0.60488,1.19038,0.57779,1.17122,5.96e-05,5.96e-05,5.96e-05
100,4392.02,0.90186,0.45819,1.05081,0.90434,0.83095,0.92204,0.60358,1.19943,0.5784,1.17743,3.98e-05,3.98e-05,3.98e-05
